# Alpha-visibility reporter: 
# D_DZ	Ra	uncert	alpha	uncert	volume_dbdz	uncert	volume_dbdzsq	uncert
9.9999999999999999998e-10	0.0025588509501029694073	7.8966885925072935029e-06	0.75069034963589885531	0.0041433098545422660295	-1.4159815583059683326e-08	1.1381522945983871926e-11	3.2982929752283809215e-16	5.603120909229974068e-19
1.5e-09	0.0025850383210551250984	2.5621821613472663648e-06	0.73075903216386685877	0.00042672054394216440183	-1.3657686440942792573e-08	1.1382914317444534417e-11	3.1628774885067252141e-16	5.5025729880158377499e-19
1.9666666666666666668e-09	0.0026036959943272531945	6.3365457593856407148e-06	0.79332678126064293256	0.0033231744783436207446	-1.3197571286505691387e-08	1.1382241178647660796e-11	3.0399789037273338115e-16	5.405143815502702842e-19
2.9333333333333333336e-09	0.002663989093357564455	7.264367673315367215e-06	0.78547977933218543045	0.0038172845516930036196	-1.2239897581301261976e-08	1.1374486991751476756e-11	2.7898934990772759881e-16	5.1994909511349900174e-19
3.8999999999999999999e-09	0.0027046312964298573237	6.354421369575443571e-06	0.79954314646119769514	0.0032401995257852498924	-1.1254025752658552538e-08	1.1381512588183970966e-11	2.5579692086338372632e-16	4.9858692106800838257e-19
4.8666666666666666671e-09	0.0027565673239649354625	5.9184170582985441503e-06	0.81701915578494209544	0.0030373274091211054757	-1.0291710245502935501e-08	1.1387006664576421001e-11	2.361168024280371498e-16	4.7954370491529808883e-19
5.8333333333333333338e-09	0.002821311931818914259	6.1182346710218215482e-06	0.81028977131779424711	0.0031182806813008341642	-9.3395341144906288276e-09	1.1394497248931954102e-11	2.1694776338694807448e-16	4.59804580824133796e-19
6.4499999999999999999e-09	0.0028539137111360922987	2.0373068206701477621e-06	0.80890411378380998742	0.00031430259956520608638	-8.7198681377819472715e-09	1.1384546133022336775e-11	2.0521084470853850885e-16	4.4591399126751075612e-19
6.8000000000000000002e-09	0.0028691779372249040943	5.5286084869218637863e-06	0.84099048248522412338	0.0026804083389432973801	-8.3606178987692710048e-09	1.1385433248611645754e-11	1.9895218830209811714e-16	4.3818081763067936262e-19
7.7666666666666666669e-09	0.0029179759808637025854	5.7281033553664787484e-06	0.83930032859758764126	0.0026731741512360393367	-7.3981432385641343335e-09	1.1388346142334469698e-11	1.8348801580044149739e-16	4.1777836073458215702e-19
8.733333333333333334e-09	0.0029760852803081055282	6.2493515173402275541e-06	0.81795495688993247906	0.0028576544801659320548	-6.4408054171163071501e-09	1.1383030409446888854e-11	1.7093104370283428986e-16	3.9985744948275313293e-19
9.7000000000000000012e-09	0.0030306411088706591301	5.4029242583717314681e-06	0.84335830759358073011	0.0026450006871697850576	-5.4744859020014813834e-09	1.1385227952722828697e-11	1.5868828688973926737e-16	3.7899535091880231899e-19
1.0666666666666666668e-08	0.0030830567407980581954	4.9652799552758047394e-06	0.8735186888917048184	0.002151110923107895302	-4.4974095909758292006e-09	1.1395068873670419999e-11	1.5000635998792181288e-16	3.6316405452271320167e-19
1.1399999999999999999e-08	0.0031232504137556143906	1.5764936584708228943e-06	0.86739391946683624696	0.00022896943310731698516	-3.7757408588098227238e-09	1.1374118948508566764e-11	1.4411307860628643478e-16	3.4895819822664140188e-19
1.1633333333333333334e-08	0.0031321884005816020556	4.255681875282043476e-06	0.89816071250440054799	0.0018373747495731220054	-3.5445670471129789647e-09	1.1387996004499949782e-11	1.4157214182425450573e-16	3.4260887583637037671e-19
1.26e-08	0.003192159557788448778	4.3083955859327956434e-06	0.89701809235490318037	0.0018444435838024405493	-2.5374074973375095247e-09	1.1368708056861776282e-11	1.3629504888582814309e-16	3.2630484496976793788e-19
1.3566666666666666667e-08	0.0032398100933259916457	4.3783856335664655293e-06	0.89127283830414354924	0.0019669113040752499394	-1.602381648847137751e-09	1.138086291176402559e-11	1.3156572839006455929e-16	3.0660724927845682089e-19
1.4533333333333333335e-08	0.0032989663096896566044	4.163565561199954316e-06	0.9024073931047694802	0.0017654089268827414107	-6.3258829361973217887e-10	1.1380099284807449543e-11	1.2950676667328499473e-16	2.9068283503454452479e-19
1.5500000000000000001e-08	0.0033493117933565591678	3.997207772228158961e-06	0.91086182430637260057	0.0016184271976359935656	3.2110237543968840293e-10	1.1382983312060696875e-11	1.2978486103786602435e-16	2.7607350897774364418e-19
1.6e-08	0.0033745203111994226099	1.2646098623964639806e-06	0.90965841327407745068	0.00016316013979757268357	8.3422364921796025113e-10	1.1373332942872794918e-11	1.3030813294969822661e-16	2.6748343768242358412e-19
1.6346666666666666666e-08	0.0033935834243836829608	1.3360444532365020525e-06	0.90105928325879813492	0.00017667647293579805224	1.1787918423559140418e-09	1.1394082843823728992e-11	1.3099090864750200678e-16	2.6176165568155233344e-19
1.635e-08	0.0033951706148982185418	1.2980541158804521596e-06	0.90482722090780173596	0.00017155606801996329696	1.2069693949878546109e-09	1.1362056188560971335e-11	1.3051024907266268166e-16	2.6086450882039041638e-19
1.6466666666666666667e-08	0.0033934012959713967936	4.0538447859205301962e-06	0.91096692389370048757	0.001592148949686674112	1.3040875390024927312e-09	1.1375962746695767181e-11	1.3121647432306952335e-16	2.5976130985955723093e-19
1.6693333333333333333e-08	0.0034102048507588765551	1.2168324333499690313e-06	0.91510570827691751686	0.00015522224319298006848	1.5230539385266323502e-09	1.139641324772975979e-11	1.3241637676901851895e-16	2.5725488759723071165e-19
1.704e-08	0.0034341477155824983714	1.3023746477299899148e-06	0.90434614100005726833	0.00017226405053646982372	1.8549769359800266975e-09	1.1408694495968555835e-11	1.3326659521210198645e-16	2.5198443776118284016e-19
1.7386666666666666666e-08	0.0034512857829011227794	1.2832529231762387819e-06	0.90675831582476141705	0.0001689651698362695257	2.2116147938626983091e-09	1.1403983866010739795e-11	1.3426244310946362927e-16	2.454304913088587168e-19
